Date,Open,High,Low,Close,Volume
Jul 25 2014,74.99,75.67,74.66,75.19,45917435
Jul 24 2014,75.96,76.74,74.51,74.98,124167936
Jul 23 2014,69.74,71.33,69.61,71.29,78434716
Jul 22 2014,69.76,69.77,68.61,69.27,40397693
Jul 21 2014,68.81,69.96,68.50,69.40,49539121
Jul 18 2014,66.80,68.46,66.16,68.42,42455649
Jul 17 2014,67.03,67.85,66.04,66.41,38188432
Jul 16 2014,67.54,67.94,67.07,67.66,29593589
Jul 15 2014,67.96,68.09,66.26,67.16,44292944
Jul 14 2014,67.13,68.17,66.90,67.90,38536924
Jul 11 2014,65.28,66.59,64.79,66.34,39212022
Jul 10 2014,63.31,65.34,63.05,64.87,44421915
Jul 9 2014,63.41,65.12,63.15,64.97,51431582
Jul 8 2014,65.06,65.56,62.21,62.76,68926036
Jul 7 2014,66.30,66.57,65.12,65.29,28745099
Jul 3 2014,66.86,67.00,65.76,66.29,25203215
Jul 2 2014,68.04,68.30,65.79,66.45,41895220
Jul 1 2014,67.58,68.44,67.39,68.06,33243166
Jun 30 2014,67.46,67.92,67.13,67.29,27201749
Jun 27 2014,67.31,67.70,66.84,67.60,46460627
Jun 26 2014,68.00,68.00,66.90,67.13,47713944
Jun 25 2014,65.58,67.48,65.57,67.44,44308249
Jun 24 2014,65.36,67.17,65.27,65.72,57334867
Jun 23 2014,64.32,65.66,64.22,65.37,34560121
Jun 20 2014,64.46,64.81,63.35,64.50,46466073
Jun 19 2014,65.46,65.58,64.21,64.34,34245182
Jun 18 2014,64.49,65.75,64.05,65.60,35570154
Jun 17 2014,64.10,64.88,63.93,64.40,27714816
Jun 16 2014,64.16,64.88,63.75,64.19,31045811
Jun 13 2014,64.70,64.97,63.83,64.50,29418910
Jun 12 2014,65.85,66.47,64.06,64.29,55729828
Jun 11 2014,65.32,65.80,64.90,65.78,44241926
Jun 10 2014,63.53,65.82,63.50,65.77,69338140
Jun 9 2014,62.40,63.34,61.79,62.88,37617413
Jun 6 2014,63.37,63.48,62.15,62.50,42442096
Jun 5 2014,63.66,64.36,62.82,63.19,47352368
Jun 4 2014,62.45,63.59,62.07,63.34,36513991
Jun 3 2014,62.62,63.42,62.32,62.87,32216707
Jun 2 2014,63.23,63.59,62.05,63.08,35995537
May 30 2014,63.95,64.17,62.56,63.30,45283577
May 29 2014,63.84,64.30,63.51,63.83,42699670
May 28 2014,63.39,64.14,62.62,63.51,47795088
May 27 2014,61.62,63.51,61.57,63.48,55681663
May 23 2014,60.41,61.45,60.15,61.35,38293993
May 22 2014,60.94,61.48,60.40,60.52,54200116
May 21 2014,58.56,60.50,58.25,60.49,58991505
May 20 2014,59.50,60.19,58.18,58.56,53931469
May 19 2014,57.89,59.56,57.57,59.21,43033925
May 16 2014,58.31,58.45,57.31,58.02,47933075
May 15 2014,59.26,59.38,57.52,57.92,56813940
May 14 2014,59.53,60.45,58.95,59.23,47428583
May 13 2014,59.66,60.89,59.51,59.83,48525476
May 12 2014,57.98,59.90,57.98,59.83,48575487
May 9 2014,56.85,57.65,56.38,57.24,52583858
May 8 2014,57.23,58.82,56.50,56.76,61251053
May 7 2014,58.77,59.30,56.26,57.39,78587247
May 6 2014,60.98,61.15,58.49,58.53,55900809
May 5 2014,59.67,61.35,59.18,61.22,46057411
May 2 2014,61.30,61.89,60.18,60.46,54189197
May 1 2014,60.43,62.28,60.21,61.15,82428606
Apr 30 2014,57.58,59.85,57.16,59.78,76093004
Apr 29 2014,56.09,58.28,55.84,58.15,75557202
Apr 28 2014,58.05,58.31,54.66,56.14,107757756
Apr 25 2014,59.97,60.01,57.57,57.71,92501529
Apr 24 2014,63.60,63.65,59.77,60.87,138769345
Apr 23 2014,63.45,63.48,61.26,61.36,96564750
Apr 22 2014,62.65,63.44,62.22,63.03,60631312
Apr 21 2014,59.46,61.24,59.15,61.24,60363619
Apr 17 2014,59.30,60.58,58.72,58.94,88040346
Apr 16 2014,59.79,60.19,57.74,59.72,78773521
Apr 15 2014,59.29,59.68,55.88,59.09,108622706
Apr 14 2014,60.09,60.45,57.78,58.89,72324603
Apr 11 2014,57.60,60.31,57.31,58.53,91451960
Apr 10 2014,63.08,63.18,58.68,59.16,114987616
Apr 9 2014,59.63,62.46,59.19,62.41,100215307
Apr 8 2014,57.68,58.71,57.17,58.19,78835935
Apr 7 2014,55.90,58.00,55.44,56.95,108487569
Apr 4 2014,59.94,60.20,56.32,56.75,125465774
Apr 3 2014,62.55,63.17,59.13,59.49,83859330
Apr 2 2014,63.21,63.91,62.21,62.72,66276613
Apr 1 2014,60.46,62.66,60.24,62.62,59291210
Mar 31 2014,60.78,61.52,59.87,60.24,53011205
Mar 28 2014,61.34,61.95,59.34,60.01,67051528
Mar 27 2014,60.51,61.90,57.98,60.97,112649694
Mar 26 2014,64.74,64.95,60.37,60.38,97689774
Mar 25 2014,64.89,66.19,63.78,64.89,68785500
Mar 24 2014,67.19,67.36,63.36,64.10,85695872
Mar 21 2014,67.53,67.92,66.18,67.24,60041228
Mar 20 2014,68.01,68.23,66.82,66.97,44438500
Mar 19 2014,69.17,69.29,67.46,68.24,43980558
Mar 18 2014,68.76,69.60,68.30,69.19,40827226
Mar 17 2014,68.18,68.95,66.62,68.74,52196699
Mar 14 2014,68.49,69.43,67.46,67.72,48226824
Mar 13 2014,71.29,71.35,68.15,68.83,57091157
Mar 12 2014,69.86,71.35,69.00,70.88,46400431
Mar 11 2014,72.50,72.59,69.96,70.10,59615238
Mar 10 2014,70.77,72.15,70.51,72.03,59949746
Mar 7 2014,71.08,71.18,69.47,69.80,38985763
Mar 6 2014,71.88,71.89,70.25,70.84,46126260
Mar 5 2014,69.69,71.97,69.62,71.57,74649486
Mar 4 2014,68.66,68.90,67.62,68.80,42164222
Mar 3 2014,66.96,68.05,66.51,67.41,56900444
Feb 28 2014,69.47,69.88,67.38,68.46,66900863
Feb 27 2014,69.34,70.01,68.87,68.94,41695855
Feb 26 2014,70.19,71.22,68.85,69.26,55400399
Feb 25 2014,70.95,71.00,69.45,69.85,52189031
Feb 24 2014,68.74,71.44,68.54,70.78,76951946
Feb 21 2014,69.69,69.96,68.45,68.59,70991892
Feb 20 2014,67.73,70.11,65.73,69.63,131043748
Feb 19 2014,67.05,69.08,67.00,68.06,64258631
Feb 18 2014,66.94,67.54,66.07,67.30,43862297
Feb 14 2014,67.50,67.58,66.72,67.09,36786427
Feb 13 2014,64.18,67.33,64.05,67.33,62013396
Feb 12 2014,64.92,65.06,64.05,64.45,47409857
Feb 11 2014,63.75,65.00,63.35,64.85,45746832
Feb 10 2014,64.30,64.49,63.47,63.55,43736562
Feb 7 2014,62.27,64.57,62.22,64.32,60835746
Feb 6 2014,61.46,62.78,61.46,62.16,42153754
Feb 5 2014,62.74,63.16,61.27,62.19,53032420
Feb 4 2014,62.05,63.14,61.82,62.75,46064897
Feb 3 2014,63.03,63.77,60.70,61.48,75105994
Jan 31 2014,60.47,63.37,60.17,62.57,87930298
Jan 30 2014,62.12,62.50,60.46,61.08,150438699
Jan 29 2014,54.61,54.95,53.19,53.53,98089932
Jan 28 2014,54.02,55.28,54.00,55.14,48364998
Jan 27 2014,54.73,54.94,51.85,53.55,74142331
Jan 24 2014,56.15,56.42,54.40,54.45,55545338
Jan 23 2014,56.37,56.68,55.69,56.63,47996403
Jan 22 2014,58.85,59.31,57.10,57.51,61495880
Jan 21 2014,56.60,58.58,56.50,58.51,48734147
Jan 17 2014,57.30,57.82,56.07,56.30,40883205
Jan 16 2014,57.26,58.02,56.83,57.19,34599775
Jan 15 2014,57.98,58.57,57.27,57.60,33730619
Jan 14 2014,56.46,57.78,56.10,57.74,37590987
Jan 13 2014,57.91,58.25,55.38,55.91,63106519
Jan 10 2014,57.13,58.30,57.06,57.94,42529258
Jan 9 2014,58.65,58.96,56.65,57.22,92349222
Jan 8 2014,57.60,58.41,57.23,58.23,56800776
Jan 7 2014,57.70,58.55,57.22,57.92,77329009
Jan 6 2014,54.42,57.26,54.05,57.20,68974359
Jan 3 2014,55.02,55.65,54.53,54.56,38287706
Jan 2 2014,54.83,55.22,54.19,54.71,43257622
Dec 31 2013,54.12,54.86,53.91,54.65,43152127
Dec 30 2013,54.93,55.18,53.43,53.71,68307317
Dec 27 2013,57.48,57.68,55.25,55.44,60465751
Dec 26 2013,58.32,58.38,57.37,57.73,55101367
Dec 24 2013,58.27,58.58,56.91,57.96,46617754
Dec 23 2013,55.50,58.32,55.45,57.77,98296983
Dec 20 2013,54.91,55.15,54.23,55.12,239823912
Dec 19 2013,54.34,55.19,53.95,55.05,89825393
Dec 18 2013,55.57,55.89,53.75,55.57,76003479
Dec 17 2013,54.75,55.18,54.24,54.86,78751463
Dec 16 2013,53.27,54.50,52.91,53.81,85118518
Dec 13 2013,51.61,53.50,51.34,53.32,82640992
Dec 12 2013,51.03,52.07,50.66,51.83,92723034
Dec 11 2013,50.56,50.77,49.01,49.38,65776366
Dec 10 2013,48.62,50.77,48.54,50.24,68478561
Dec 9 2013,48.06,48.97,47.74,48.84,36055891
Dec 6 2013,48.98,49.39,47.71,47.94,42937659
Dec 5 2013,48.15,48.70,47.87,48.34,43855036
Dec 4 2013,46.46,48.77,46.26,48.62,60890176
Dec 3 2013,46.75,47.20,46.29,46.73,32085905
Dec 2 2013,46.90,47.54,46.26,47.06,50773647
Nov 29 2013,46.75,47.21,46.50,47.01,22953916
Nov 27 2013,45.97,46.67,45.53,46.49,44993195
Nov 26 2013,44.66,46.17,43.55,45.89,82016490
Nov 25 2013,46.36,46.65,44.04,44.82,82565324
Nov 22 2013,47.04,47.27,45.96,46.23,40545375
Nov 21 2013,46.99,47.46,46.68,46.70,34886170
Nov 20 2013,46.61,47.55,46.31,46.43,53932698
Nov 19 2013,46.26,47.00,45.72,46.36,75602413
Nov 18 2013,48.47,48.84,45.80,45.83,85909884
Nov 15 2013,49.11,49.48,48.71,49.01,42452937
Nov 14 2013,48.70,49.57,48.03,48.99,75117049
Nov 13 2013,46.23,48.74,46.06,48.71,79245346
Nov 12 2013,46.00,47.37,45.83,46.60,68195832
Nov 11 2013,47.04,47.53,45.73,46.20,80909626
Nov 8 2013,47.81,48.65,47.25,47.53,70731178
Nov 7 2013,49.24,49.87,47.30,47.56,97127618
Nov 6 2013,50.26,50.45,48.71,49.12,67889337
Nov 5 2013,47.79,50.18,47.51,50.10,76835006
Nov 4 2013,49.36,49.75,48.02,48.22,80371218
Nov 1 2013,50.85,52.09,49.72,49.75,95032876
Oct 31 2013,47.16,52.00,46.50,50.20,248809006
Oct 30 2013,50.00,50.21,48.75,49.01,127072652
Oct 29 2013,50.73,50.79,49.25,49.40,102143469
Oct 28 2013,51.54,51.70,49.61,50.23,73472347
Oct 25 2013,53.18,53.24,51.88,51.95,45085348
Oct 24 2013,52.38,52.84,51.59,52.44,46775185
Oct 23 2013,51.75,52.25,51.13,51.90,57207154
Oct 22 2013,54.33,54.76,52.20,52.68,83203892
Oct 21 2013,54.68,54.81,53.51,53.85,58235283
Oct 18 2013,54.18,54.82,53.60,54.22,88260093
Oct 17 2013,51.12,52.22,50.95,52.21,71521899
Oct 16 2013,50.04,51.24,49.90,51.14,64678247
Oct 15 2013,49.99,51.00,49.18,49.50,81166571
Oct 14 2013,48.31,49.63,47.91,49.51,68780552
